id,name,address,city,level,hechsherId,mashgiachId,kitniyot,expires,status,rabbanutId,notes,lastInspection,lat,lng,foodType,phone,hours
"r_00c775535127b4","השרברב 1 אנטריקוט - פארק הקרח","קניון אייס מול","אילת","Mehadrin","h_1cb26ba92e6d2e","m_558de56a3d26e4","לא צוין","2026-07-01T00:00:00.000Z","ok","rb_a2cffdca6beacc","מקור: עסקים בכשרות מהדרין  תשפ''ה.pdf | כשרות: כשר למהדרין | מיקום משוער לפי עיר; ניתן לתקן במפה.","2026-04-17T00:00:00.000Z","29.552819","34.945115","meat","",""
"r_1c77fa24e11596","שיפודי ציפורה","קאמן 10","אילת","Mehadrin","h_1cb26ba92e6d2e","m_558de56a3d26e4","לא צוין","2026-07-01T00:00:00.000Z","ok","rb_a2cffdca6beacc","מקור: עסקים בכשרות מהדרין  תשפ''ה.pdf | כשרות: כשר למהדרין | מיקום משוער לפי עיר; ניתן לתקן במפה.","2026-04-17T00:00:00.000Z","29.54049","34.94522","meat","",""
"r_cc6cb115107e71","שניצל קונספט אייסמול","קאפמן 9","אילת","Mehadrin","h_1cb26ba92e6d2e","m_558de56a3d26e4","לא צוין","2026-07-01T00:00:00.000Z","ok","rb_a2cffdca6beacc","מקור: עסקים בכשרות מהדרין  תשפ''ה.pdf | כשרות: כשר למהדרין | מיקום משוער לפי עיר; ניתן לתקן במפה.","2026-04-17T00:00:00.000Z","29.557943","34.965829","meat","",""
"r_4e3e868dd1323b","בורגרס בר - פנינת אילת","פנינת אילת","אילת","Mehadrin","h_1cb26ba92e6d2e","m_3b29038d3a2a2a","לא צוין","2026-07-01T00:00:00.000Z","ok","rb_a2cffdca6beacc","מקור: עסקים בכשרות מהדרין  תשפ''ה.pdf | כשרות: כשר למהדרין | מיקום משוער לפי עיר; ניתן לתקן במפה.","2026-04-17T00:00:00.000Z","29.548024","34.957939","meat","",""
"r_9f0223f251c650","דוביל'ה","פנינת אילת","אילת","Mehadrin","h_1cb26ba92e6d2e","m_3b29038d3a2a2a","לא צוין","2026-07-01T00:00:00.000Z","ok","rb_a2cffdca6beacc","מקור: עסקים בכשרות מהדרין  תשפ''ה.pdf | כשרות: כשר למהדרין | מיקום משוער לפי עיר; ניתן לתקן במפה.","2026-04-17T00:00:00.000Z","29.54987","34.946125","meat","",""
"r_392e26b91fca9d","טורטילי","השחם 243/1","אילת","Mehadrin","h_1cb26ba92e6d2e","m_3b29038d3a2a2a","לא צוין","2026-07-01T00:00:00.000Z","ok","rb_a2cffdca6beacc","מקור: עסקים בכשרות מהדרין  תשפ''ה.pdf | כשרות: כשר למהדרין | מיקום משוער לפי עיר; ניתן לתקן במפה.","2026-04-17T00:00:00.000Z","29.561712","34.949339","meat","",""
"r_2f8d9d8f157c86","מנה מנה","פנינת אילת","אילת","Mehadrin","h_1cb26ba92e6d2e","m_3b29038d3a2a2a","לא צוין","2026-07-01T00:00:00.000Z","ok","rb_a2cffdca6beacc","מקור: עסקים בכשרות מהדרין  תשפ''ה.pdf | כשרות: כשר למהדרין | מיקום משוער לפי עיר; ניתן לתקן במפה.","2026-04-17T00:00:00.000Z","29.574116","34.964445","meat","",""
"r_ec641cfbc0ad8c","פיתה ובשר אילת","הפלמ""ח 1","אילת","Mehadrin","h_1cb26ba92e6d2e","m_3b29038d3a2a2a","לא צוין","2026-07-01T00:00:00.000Z","ok","rb_a2cffdca6beacc","מקור: עסקים בכשרות מהדרין  תשפ''ה.pdf | כשרות: כשר למהדרין | מיקום משוער לפי עיר; ניתן לתקן במפה.","2026-04-17T00:00:00.000Z","29.550289","34.943329","meat","",""
"r_8f6e453664954a","קפטן - סניף אילת","מרכז תיירות","אילת","Mehadrin","h_1cb26ba92e6d2e","m_3b29038d3a2a2a","לא צוין","2026-07-01T00:00:00.000Z","ok","rb_a2cffdca6beacc","מקור: עסקים בכשרות מהדרין  תשפ''ה.pdf | כשרות: כשר למהדרין | מיקום משוער לפי עיר; ניתן לתקן במפה.","2026-04-17T00:00:00.000Z","29.563842","34.966383","meat","",""
"r_1d217d7070f329","שניצל קונספט - מול הים","רחוב הפלמ""ח 1","אילת","Mehadrin","h_1cb26ba92e6d2e","m_3b29038d3a2a2a","לא צוין","2026-07-01T00:00:00.000Z","ok","rb_a2cffdca6beacc","מקור: עסקים בכשרות מהדרין  תשפ''ה.pdf | כשרות: כשר למהדרין | מיקום משוער לפי עיר; ניתן לתקן במפה.","2026-04-17T00:00:00.000Z","29.547414","34.962366","meat","",""
